video_id,channel_title,video_publish_date,video_title,video_view_count,video_comment_count,video_like_count,video_dislike_count
-PL32ea0MqM,Real Engineering,2020-12-30 15:00:00+00:00,The Missing Link in Renewables,2162004,4283,68634,
wr7QZ364jPY,Real Engineering,2020-12-12 17:00:10+00:00,How Big Can Wind Turbines Get?,936802,2543,38812,
WWiX2edcBoA,Real Engineering,2020-11-24 19:30:02+00:00,Are Renewable Powered Ships Possible?,838860,4478,38283,
1Xwxe0wU4b8,Real Engineering,2020-10-24 13:00:00+00:00,Tesla's Battery Supply Problem,1509387,3877,49404,
zpFLLGkNm7I,Real Engineering,2020-10-10 14:00:15+00:00,The Floating Harbors of D-Day,918611,1139,35272,
yVOnHWnLSeU,Real Engineering,2020-09-26 12:00:16+00:00,The Mystery Flaw of Solar Panels,3547442,4631,98905,
hid7EJkwDNk,Real Engineering,2020-08-15 12:00:20+00:00,Is The Metric System Actually Better?,2577586,36683,135168,
IwqTN5fhMR8,Real Engineering,2020-08-01 11:02:03+00:00,The Insane Engineering of the P-47 Thunderbolt,3630464,8724,93580,
Xa_xteu_Mts,Real Engineering,2020-07-18 12:00:11+00:00,Are Space Elevators Possible?,1450946,3510,50755,
obcya0ze6Zo,Real Engineering,2020-06-20 12:30:10+00:00,Titanium - The Metal That Made The SR-71 Possible,2580464,2331,60966,
UC_BCz0pzMw,Real Engineering,2020-06-06 12:00:07+00:00,The Economics of Nuclear Energy,1888871,6988,65403,
wk6Qr6OO5Xo,Real Engineering,2020-05-23 12:00:22+00:00,The Insane Engineering of the A-10 Warthog,18317542,15880,266566,
g-gGeAe-PJA,Real Engineering,2020-05-09 13:36:20+00:00,The Truth About 5G,3688098,19470,116457,
3hYSnyVLmGE,Real Engineering,2020-04-18 13:00:05+00:00,The Insane Engineering of the SR-71 Blackbird,9333948,6491,158088,
7vLPefHYWpY,Real Engineering,2020-04-04 13:14:19+00:00,A Guide To Designing Low-Cost Ventilators for COVID-19,749819,2263,42133,
sYXYG_F1EK0,Real Engineering,2020-03-28 14:30:09+00:00,Why Was Normandy Selected For D-Day?,1857465,2129,46704,
